month,month_name,regime,policy,picking_workers,packing_workers,dispatch_workers,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,completed_orders,unfinished_orders,unfinished_urgent_orders,unfinished_normal_orders,backlog_share,estimated_late_cost,estimated_worker_cost,estimated_total_cost,savings_total_cost_vs_fifo_same_month_regime,savings_total_cost_vs_urgent_first_same_month_regime,p_urgent_overall,p_urgent_pick,p_urgent_pack,p_urgent_dispatch,decisions_total,decisions_pick,decisions_pack,decisions_dispatch,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month,feasible,urgent_sla_target,normal_sla_target,sla_violation,scenario_seed,picking_utilisation,picking_avg_wait_min,picking_p95_wait_min,picking_avg_queue_len,picking_max_queue_len,picking_late_wait_share,picking_pressure_score,packing_utilisation,packing_avg_wait_min,packing_p95_wait_min,packing_avg_queue_len,packing_max_queue_len,packing_late_wait_share,packing_pressure_score,dispatch_utilisation,dispatch_avg_wait_min,dispatch_p95_wait_min,dispatch_avg_queue_len,dispatch_max_queue_len,dispatch_late_wait_share,dispatch_pressure_score
1,January,s16_10_5,fifo,16,10,5,31,31200,6250,24950,0.2003,0.9049679487179487,0.70688,0.9545891783567134,136.55129254872767,330.93417561833326,1832.0,1133.0,29788,1412,279,1133,0.0453,42305.0,74400.0,116705.0,0.0,-34360.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2431,124,0.8128,127.14,359.37,408.926,1747,0.9946,0.924,0.7426,0.29,1.13,0.908,13,0.001,0.2984,0.794,1.27,3.92,3.931,36,0.0044,0.3226
1,January,s16_10_5,urgent_first,16,10,5,31,31200,6250,24950,0.2003,0.9491666666666667,0.99984,0.9364729458917835,137.62821566720027,528.2980286666666,1.0,1585.0,29736,1464,1,1463,0.0469,7945.0,74400.0,82345.0,34360.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8129,127.28,815.64,414.606,1779,0.9993,0.925,0.7436,0.34,1.3,1.047,18,0.0004,0.2983,0.7946,1.97,5.6,6.3,69,0.0003,0.3219
1,January,s16_10_5,rl3_dqn,16,10,5,31,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,74400.0,322900.0,-206195.0,-240555.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0622,3179.12,5741.22,14041.444,29112,0.9999,0.6248,0.0612,0.42,2.31,0.091,3,0.0001,0.0246,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s15_10_5,fifo,15,10,5,30,31200,6250,24950,0.2003,0.8878525641025641,0.62768,0.9530260521042084,176.21869999564697,381.68492831000003,2327.0,1172.0,29738,1462,290,1172,0.0469,52400.0,72000.0,124400.0,0.0,-42530.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.3223,124,0.8655,167.74,434.9,534.907,2007,0.9983,0.9459,0.7413,0.15,0.8,0.462,9,0.0004,0.2972,0.7926,0.46,1.47,1.423,20,0.0013,0.3185
1,January,s15_10_5,urgent_first,15,10,5,30,31200,6250,24950,0.2003,0.9368269230769231,0.99984,0.9210420841683367,176.62790395004484,730.746344080003,1.0,1970.0,29725,1475,1,1474,0.0473,9870.0,72000.0,81870.0,42530.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.8656,167.91,944.71,540.481,2036,0.9997,0.9462,0.7425,0.16,0.8,0.493,11,0.0001,0.2974,0.7944,0.63,1.77,1.938,25,0.0002,0.3188
1,January,s15_10_5,rl3_dqn,15,10,5,30,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,72000.0,320500.0,-196100.0,-238630.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0663,3179.12,5741.22,14041.444,29112,0.9999,0.6265,0.0612,0.42,2.31,0.091,3,0.0001,0.0246,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s17_10_5,fifo,17,10,5,32,31200,6250,24950,0.2003,0.9129166666666667,0.74336,0.9553907815631263,121.67358675259855,309.3959139666665,1604.0,1113.0,29818,1382,269,1113,0.0443,37645.0,76800.0,114445.0,0.0,-30280.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2066,124,0.7663,97.9,314.04,317.862,1513,0.9134,0.8892,0.7437,0.72,2.07,2.225,24,0.0027,0.3007,0.7948,15.25,55.17,47.371,278,0.0839,0.401
1,January,s17_10_5,urgent_first,17,10,5,32,31200,6250,24950,0.2003,0.9528846153846153,0.99984,0.941122244488978,125.57995501050239,514.5449641516667,1.0,1469.0,29744,1456,1,1455,0.0467,7365.0,76800.0,84165.0,30280.0,0.0,,,,,,,,,20.0,5.0,15.0,160.0,True,0.95,0.8,0.0,124,0.7663,98.07,734.95,323.94,1533,0.2298,0.7525,0.7444,1.05,3.18,3.305,33,0.021,0.3046,0.7948,18.33,44.82,57.265,291,0.7493,0.5095
1,January,s17_10_5,rl3_dqn,17,10,5,32,31200,6250,24950,0.2003,0.00233974358974359,0.00944,0.0005611222444889779,3188.4848932545397,5382.324372759894,6191.0,24936.0,2087,29113,4177,24936,0.9331,248500.0,76800.0,325300.0,-210855.0,-241135.0,0.9966346153846154,0.9966346153846154,0.0,0.0,2080.0,2080.0,0.0,0.0,20.0,5.0,15.0,160.0,False,0.95,0.8,1.74,124,0.0585,3179.12,5741.22,14041.444,29112,0.9999,0.6234,0.0612,0.42,2.31,0.091,3,0.0001,0.0246,0.0668,0.02,0.12,0.004,1,0.0,0.0267
1,January,s16_9_5,fifo,16,9,5,30,31200,6250,24950,0.2003,0.9032051282051282,0.69968,0.954188376753507,143.65325160789615,339.3154300983334,1877.0,1143.0,29774,1426,283,1143,0.0457,43255.0,72000.0,115255.0,0.0,-35150.0,,,,,,,,,20.0,5.0,15.0,160.0,False,0.95,0.8,0.2503,124,0.8128,127.14,359.37,408.926,1747,0.9592,0.9169,0.8247,8.2,29.05,25.452,157,0.0393,0.3673,0.7936,0.47,1.35,1.446,13,0.0015,0.3192
