month,month_name,total_orders,urgent_orders,normal_orders,urgent_share,best_total_regime,best_total_policy,best_total_workers,best_total_picking_workers,best_total_packing_workers,best_total_dispatch_workers,best_total_sla,best_total_urgent_sla,best_total_normal_sla,best_total_late_cost,best_total_labour_cost,best_total_cost,best_rl3_regime,best_rl3_workers,best_rl3_sla,best_rl3_urgent_sla,best_rl3_normal_sla,best_rl3_late_cost,best_rl3_labour_cost,best_rl3_total_cost,best_rl3_gap_vs_cheapest,min_urgent_regime,min_urgent_policy,min_urgent_workers,min_urgent_sla,min_urgent_urgent_sla,min_urgent_normal_sla,min_urgent_late_cost,min_urgent_labour_cost,min_urgent_total_cost,min_total_sla_regime,min_total_sla_policy,min_total_sla_workers,min_total_sla,min_total_sla_urgent_sla,min_total_sla_normal_sla,min_total_sla_late_cost,min_total_sla_labour_cost,min_total_sla_total_cost,best_urgent_first_regime,best_urgent_first_workers,best_urgent_first_sla,best_urgent_first_urgent_sla,best_urgent_first_normal_sla,best_urgent_first_late_cost,best_urgent_first_labour_cost,best_urgent_first_total_cost,min_feasible_regime,min_feasible_policy,min_feasible_workers,min_feasible_sla,min_feasible_urgent_sla,min_feasible_normal_sla,min_feasible_late_cost,min_feasible_labour_cost,min_feasible_total_cost,rl3_minus_urgent_first_total_cost,cheapest_label,rl3_label,min_urgent_label,min_total_sla_label,min_feasible_label,managerial_interpretation_short
1,January,31200,6250,24950,0.2003,s15_9_5,urgent_first,29,15,9,5,0.9365,0.9998,0.9206,9925.0,69600.0,79525.0,s13_8_4,25,0.0023,0.0094,0.0006,248500.0,60000.0,308500.0,228975.0,s13_8_4,urgent_first,25,0.8401,0.9998,0.8001,24955.0,60000.0,84955.0,s13_8_4,urgent_first,25,0.8401,0.9998,0.8001,24955.0,60000.0,84955.0,s15_9_5,29,0.9365,0.9998,0.9206,9925.0,69600.0,79525.0,s13_8_4,urgent_first,25,0.8401,0.9998,0.8001,24955.0,60000.0,84955.0,228975.0,Cheapest: s15_9_5 + Urgent-First,"Best RL-3: s13_8_4 + rl3_dqn (+$228,975 vs cheapest)",Min urgent SLA≥95%: s13_8_4 + Urgent-First (25 workers),Min total SLA≥80%: s13_8_4 + Urgent-First (25 workers),Minimum feasible workforce: s13_8_4 + Urgent-First (25 workers),Urgent-First is cost-optimal this month
2,February,26400,4742,21658,0.1796,s13_8_4,urgent_first,25,13,8,4,0.9137,1.0,0.8949,11385.0,60000.0,71385.0,s11_6_4,21,0.0036,0.0175,0.0005,201415.0,50400.0,251815.0,180430.0,s11_6_4,urgent_first,21,0.7942,1.0,0.7491,27170.0,50400.0,77570.0,s13_7_5,fifo,25,0.8428,0.4654,0.9254,58780.0,60000.0,118780.0,s13_8_4,25,0.9137,1.0,0.8949,11385.0,60000.0,71385.0,s13_7_5,urgent_first,25,0.8835,1.0,0.858,15375.0,60000.0,75375.0,180430.0,Cheapest: s13_8_4 + Urgent-First,"Best RL-3: s11_6_4 + rl3_dqn (+$180,430 vs cheapest)",Min urgent SLA≥95%: s11_6_4 + Urgent-First (21 workers),Min total SLA≥80%: s13_7_5 + FIFO (25 workers),Minimum feasible workforce: s13_7_5 + Urgent-First (25 workers),Urgent-First is cost-optimal this month
3,March,16800,2024,14776,0.1205,s643,urgent_first,13,6,4,3,0.991,1.0,0.9898,755.0,31200.0,31955.0,s542,11,0.1256,0.9797,0.0086,74065.0,26400.0,100465.0,68510.0,s542,urgent_first,11,0.7932,1.0,0.7648,17375.0,26400.0,43775.0,s643,fifo,13,0.9909,0.9901,0.991,1065.0,31200.0,32265.0,s643,13,0.991,1.0,0.9898,755.0,31200.0,31955.0,s643,fifo,13,0.9909,0.9901,0.991,1065.0,31200.0,32265.0,68510.0,Cheapest: s643 + Urgent-First,"Best RL-3: s542 + rl3_dqn (+$68,510 vs cheapest)",Min urgent SLA≥95%: s542 + Urgent-First (11 workers),Min total SLA≥80%: s643 + FIFO (13 workers),Minimum feasible workforce: s643 + FIFO (13 workers),Urgent-First is cost-optimal this month
4,April,16800,2081,14719,0.1239,s643,urgent_first,13,6,4,3,0.9852,1.0,0.9832,1240.0,31200.0,32440.0,s542,11,0.127,0.9851,0.0056,73800.0,26400.0,100200.0,67760.0,s542,urgent_first,11,0.7914,1.0,0.7619,17520.0,26400.0,43920.0,s643,fifo,13,0.9854,0.9914,0.9845,1500.0,31200.0,32700.0,s643,13,0.9852,1.0,0.9832,1240.0,31200.0,32440.0,s643,fifo,13,0.9854,0.9914,0.9845,1500.0,31200.0,32700.0,67760.0,Cheapest: s643 + Urgent-First,"Best RL-3: s542 + rl3_dqn (+$67,760 vs cheapest)",Min urgent SLA≥95%: s542 + Urgent-First (11 workers),Min total SLA≥80%: s643 + FIFO (13 workers),Minimum feasible workforce: s643 + FIFO (13 workers),Urgent-First is cost-optimal this month
5,May,10800,967,9833,0.0895,s332,urgent_first,8,3,3,2,0.9603,1.0,0.9564,2145.0,19200.0,21345.0,s321,6,0.1291,0.91,0.0523,48335.0,14400.0,62735.0,41390.0,s321,urgent_first,6,0.6398,1.0,0.6044,19450.0,14400.0,33850.0,s322,fifo,7,0.8161,0.1706,0.8796,21960.0,16800.0,38760.0,s332,8,0.9603,1.0,0.9564,2145.0,19200.0,21345.0,s322,urgent_first,7,0.8382,1.0,0.8223,8735.0,16800.0,25535.0,41390.0,Cheapest: s332 + Urgent-First,"Best RL-3: s321 + rl3_dqn (+$41,390 vs cheapest)",Min urgent SLA≥95%: s321 + Urgent-First (6 workers),Min total SLA≥80%: s322 + FIFO (7 workers),Minimum feasible workforce: s322 + Urgent-First (7 workers),Urgent-First is cost-optimal this month
6,June,9600,830,8770,0.0865,s322,urgent_first,7,3,2,2,0.9849,1.0,0.9835,725.0,16800.0,17525.0,s321,6,0.1273,0.806,0.0631,44305.0,14400.0,58705.0,41180.0,s321,urgent_first,6,0.761,1.0,0.7384,11470.0,14400.0,25870.0,s322,fifo,7,0.9866,0.9855,0.9867,825.0,16800.0,17625.0,s322,7,0.9849,1.0,0.9835,725.0,16800.0,17525.0,s322,fifo,7,0.9866,0.9855,0.9867,825.0,16800.0,17625.0,41180.0,Cheapest: s322 + Urgent-First,"Best RL-3: s321 + rl3_dqn (+$41,180 vs cheapest)",Min urgent SLA≥95%: s321 + Urgent-First (6 workers),Min total SLA≥80%: s322 + FIFO (7 workers),Minimum feasible workforce: s322 + FIFO (7 workers),Urgent-First is cost-optimal this month
7,July,8400,663,7737,0.0789,s322,urgent_first,7,3,2,2,0.9962,1.0,0.9959,160.0,16800.0,16960.0,s221,5,0.1215,0.6109,0.0796,40765.0,12000.0,52765.0,35805.0,s221,urgent_first,5,0.79,1.0,0.772,8820.0,12000.0,20820.0,s321,fifo,6,0.8495,0.1222,0.9119,15050.0,14400.0,29450.0,s322,7,0.9962,1.0,0.9959,160.0,16800.0,16960.0,s321,urgent_first,6,0.8819,1.0,0.8718,4960.0,14400.0,19360.0,35805.0,Cheapest: s322 + Urgent-First,"Best RL-3: s221 + rl3_dqn (+$35,805 vs cheapest)",Min urgent SLA≥95%: s221 + Urgent-First (5 workers),Min total SLA≥80%: s321 + FIFO (6 workers),Minimum feasible workforce: s321 + Urgent-First (6 workers),Urgent-First is cost-optimal this month
8,August,8400,683,7717,0.0813,s322,urgent_first,7,3,2,2,0.9961,1.0,0.9957,165.0,16800.0,16965.0,s221,5,0.1286,0.6764,0.0801,39915.0,12000.0,51915.0,34950.0,s221,urgent_first,5,0.7794,1.0,0.7599,9265.0,12000.0,21265.0,s321,fifo,6,0.8507,0.1816,0.9099,14655.0,14400.0,29055.0,s322,7,0.9961,1.0,0.9957,165.0,16800.0,16965.0,s321,urgent_first,6,0.881,1.0,0.8704,5000.0,14400.0,19400.0,34950.0,Cheapest: s322 + Urgent-First,"Best RL-3: s221 + rl3_dqn (+$34,950 vs cheapest)",Min urgent SLA≥95%: s221 + Urgent-First (5 workers),Min total SLA≥80%: s321 + FIFO (6 workers),Minimum feasible workforce: s321 + Urgent-First (6 workers),Urgent-First is cost-optimal this month
9,September,16800,2055,14745,0.1223,s743,urgent_first,14,7,4,3,0.9906,1.0,0.9893,790.0,33600.0,34390.0,s642,12,0.1259,0.9839,0.0063,73920.0,28800.0,102720.0,68330.0,s642,urgent_first,12,0.8521,1.0,0.8315,12425.0,28800.0,41225.0,s642,fifo,12,0.8168,0.2092,0.9015,39760.0,28800.0,68560.0,s743,14,0.9906,1.0,0.9893,790.0,33600.0,34390.0,s642,urgent_first,12,0.8521,1.0,0.8315,12425.0,28800.0,41225.0,68330.0,Cheapest: s743 + Urgent-First,"Best RL-3: s642 + rl3_dqn (+$68,330 vs cheapest)",Min urgent SLA≥95%: s642 + Urgent-First (12 workers),Min total SLA≥80%: s642 + FIFO (12 workers),Minimum feasible workforce: s642 + Urgent-First (12 workers),Urgent-First is cost-optimal this month
10,October,20400,3097,17303,0.1518,s863,urgent_first,17,8,6,3,0.9916,1.0,0.9901,855.0,40800.0,41655.0,s753,15,0.0084,0.051,0.0008,145225.0,36000.0,181225.0,139570.0,s753,urgent_first,15,0.8663,1.0,0.8424,13635.0,36000.0,49635.0,s753,fifo,15,0.8098,0.2454,0.9108,54460.0,36000.0,90460.0,s863,17,0.9916,1.0,0.9901,855.0,40800.0,41655.0,s753,urgent_first,15,0.8663,1.0,0.8424,13635.0,36000.0,49635.0,139570.0,Cheapest: s863 + Urgent-First,"Best RL-3: s753 + rl3_dqn (+$139,570 vs cheapest)",Min urgent SLA≥95%: s753 + Urgent-First (15 workers),Min total SLA≥80%: s753 + FIFO (15 workers),Minimum feasible workforce: s753 + Urgent-First (15 workers),Urgent-First is cost-optimal this month
