month,month_name,regime,policy,picking_workers,packing_workers,dispatch_workers,total_workers,total_orders,urgent_orders,normal_orders,urgent_share,total_sla,urgent_sla,normal_sla,mean_system_time_min,p90_system_time_min,urgent_late_orders,normal_late_orders,estimated_late_cost,estimated_worker_cost,estimated_total_cost,p_urgent_overall,p_urgent_pick,p_urgent_pack,p_urgent_dispatch,decisions_total,decisions_pick,decisions_pack,decisions_dispatch,cost_late_urgent,cost_late_normal,worker_cost_per_hour,hours_per_worker_month,feasible,urgent_sla_target,normal_sla_target,sla_violation,p90_total_cost,prob_meets_sla_targets,replication_count,evaluation_stage
12,December,s111,fifo,1,1,1,3,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.8808850708093495,0.6463338162254572,0.96035500209959,305.42232727184063,984.3944444444447,458.0,154.0,8410.0,8640.0,17050.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3036666666666667,18660.0,0.0,3,validated
12,December,s111,rl3_dqn,1,1,1,3,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.9491103548145694,1.0,0.9319141480960255,312.2601722578684,1098.9433333333334,0.0,264.6666666666667,2646.6666666666665,8640.0,11286.666666666666,0.9702658454163938,0.9700965302634844,1.0,0.0,1005.3333333333334,998.0,7.333333333333333,0.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,12646.0,1.0,3,validated
12,December,s111,urgent_first,1,1,1,3,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.9259289487340766,0.9975633528265107,0.9018449839556576,311.1997944825609,1227.8172222222222,3.3333333333333335,378.6666666666667,3836.6666666666665,8640.0,12476.666666666666,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,13938.0,1.0,3,validated
12,December,s211,fifo,2,1,1,4,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.9775765325564235,0.9107033433658821,1.0,65.08189684639622,201.95500000000052,115.66666666666667,0.0,1735.0,11520.0,13255.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.044533333333333334,14034.0,0.3333333333333333,3,validated
12,December,s211,rl3_dqn,2,1,1,4,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,1.0,1.0,1.0,67.98888133950608,227.84722222222226,0.0,0.0,0.0,11520.0,11520.0,0.9700074252604928,0.9441962937068973,1.0,0.0,1014.0,537.0,477.0,0.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,11520.0,1.0,3,validated
12,December,s211,urgent_first,2,1,1,4,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.9994276993513926,1.0,0.999225606608157,68.39994509809236,167.50500000000002,0.0,3.0,30.0,11520.0,11550.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,11592.0,1.0,3,validated
12,December,s212,fifo,2,1,2,5,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.9775765325564235,0.9107033433658821,1.0,65.07369203886645,201.94833333333386,115.66666666666667,0.0,1735.0,14400.0,16135.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.044533333333333334,16914.0,0.3333333333333333,3,validated
12,December,s212,rl3_dqn,2,1,2,5,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,1.0,1.0,1.0,67.981047101856,227.31166666666664,0.0,0.0,0.0,14400.0,14400.0,0.9639505181877851,0.9330336330336331,1.0,0.0,1020.3333333333334,543.3333333333334,477.0,0.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,14400.0,1.0,3,validated
12,December,s212,urgent_first,2,1,2,5,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.9994276993513926,1.0,0.999225606608157,68.3919495221809,167.50500000000002,0.0,3.0,30.0,14400.0,14430.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,14472.0,1.0,3,validated
12,December,s221,fifo,2,2,1,5,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,0.981775001967819,0.9273476262640349,1.0,55.616891506100195,169.28611111111124,94.66666666666667,0.0,1420.0,14400.0,15820.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.03933333333333333,16710.0,0.3333333333333333,3,validated
12,December,s221,rl3_dqn,2,2,1,5,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,1.0,1.0,1.0,56.59909190049251,185.53222222222226,0.0,0.0,0.0,14400.0,14400.0,1.0,1.0,1.0,1.0,539.6666666666666,504.6666666666667,7.666666666666667,27.333333333333332,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,14400.0,1.0,3,validated
12,December,s221,urgent_first,2,2,1,5,5108.666666666667,1293.3333333333333,3815.3333333333335,0.2531333333333334,1.0,1.0,1.0,57.57822185354598,95.81833333333334,0.0,0.0,0.0,14400.0,14400.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,14400.0,1.0,3,validated
12,December,s112,fifo,1,1,2,4,5242.0,1368.0,3874.0,0.261,0.8498664631819917,0.6308479532163743,0.9272070211667527,353.29337403026835,1138.4266666666672,505.0,282.0,10395.0,11520.0,21915.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3192,,0.0,1,screening
12,December,s112,rl3_dqn,1,1,2,4,5242.0,1368.0,3874.0,0.261,0.9231209462037391,1.0,0.8959731543624161,361.3728188986392,1303.16,0.0,403.0,4030.0,11520.0,15550.0,0.9569120287253142,0.9566395663956639,1.0,0.0,1114.0,1107.0,7.0,0.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s112,urgent_first,1,1,2,4,5242.0,1368.0,3874.0,0.261,0.9160625715375811,0.9926900584795322,0.8890036138358286,362.0638878290729,1228.0550000000005,10.0,430.0,4450.0,11520.0,15970.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s121,fifo,1,2,1,4,5242.0,1368.0,3874.0,0.261,0.8498664631819917,0.6308479532163743,0.9272070211667527,353.1516755691212,1138.4266666666672,505.0,282.0,10395.0,11520.0,21915.0,,,,,,,,,15.0,10.0,18.0,160.0,False,0.95,0.8,0.3192,,0.0,1,screening
12,December,s121,rl3_dqn,1,2,1,4,5242.0,1368.0,3874.0,0.261,0.9231209462037391,1.0,0.8959731543624161,361.24053478316165,1303.15,0.0,403.0,4030.0,11520.0,15550.0,0.9515695067264573,0.9514824797843666,0.0,1.0,1115.0,1113.0,0.0,2.0,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
12,December,s121,urgent_first,1,2,1,4,5242.0,1368.0,3874.0,0.261,0.9160625715375811,0.9926900584795322,0.8890036138358286,361.9289774895079,1228.0550000000005,10.0,430.0,4450.0,11520.0,15970.0,,,,,,,,,15.0,10.0,18.0,160.0,True,0.95,0.8,0.0,,1.0,1,screening
