month,month_name,total_orders,urgent_orders,normal_orders,urgent_share,best_total_regime,best_total_policy,best_total_workers,best_total_picking_workers,best_total_packing_workers,best_total_dispatch_workers,best_total_sla,best_total_urgent_sla,best_total_normal_sla,best_total_late_cost,best_total_labour_cost,best_total_cost,best_rl3_regime,best_rl3_workers,best_rl3_sla,best_rl3_urgent_sla,best_rl3_normal_sla,best_rl3_late_cost,best_rl3_labour_cost,best_rl3_total_cost,best_rl3_gap_vs_cheapest,min_urgent_regime,min_urgent_policy,min_urgent_workers,min_urgent_sla,min_urgent_urgent_sla,min_urgent_normal_sla,min_urgent_late_cost,min_urgent_labour_cost,min_urgent_total_cost,min_total_sla_regime,min_total_sla_policy,min_total_sla_workers,min_total_sla,min_total_sla_urgent_sla,min_total_sla_normal_sla,min_total_sla_late_cost,min_total_sla_labour_cost,min_total_sla_total_cost,best_urgent_first_regime,best_urgent_first_workers,best_urgent_first_sla,best_urgent_first_urgent_sla,best_urgent_first_normal_sla,best_urgent_first_late_cost,best_urgent_first_labour_cost,best_urgent_first_total_cost,rl3_minus_urgent_first_total_cost,cheapest_label,rl3_label,min_urgent_label,min_total_sla_label,managerial_interpretation_short
1,January,31200,6250,24950,0.2003,s432,urgent_first,9,4,3,2,0.8258,1.0,0.7822,54350.0,24480.0,78830.0,s432,9,0.7925,1.0,0.7405,64740.0,24480.0,89220.0,10390.0,s321,urgent_first,6,0.7077,0.9954,0.6356,91374.0,16320.0,107694.0,s432,urgent_first,9.0,0.8258,1.0,0.7822,54350.0,24480.0,78830.0,s432,9,0.8258,1.0,0.7822,54350.0,24480.0,78830.0,10390.0,Cheapest: s432 + Urgent-First,"Best RL-3: s432 + rl3_dqn (+$10,390 vs cheapest)",Min urgent SLA≥95%: s321 + Urgent-First (6 workers),Min total SLA≥80%: s432 + Urgent-First (9 workers),Urgent-First is cost-optimal this month
2,February,26400,4792,21608,0.1815,s432,urgent_first,9,4,3,2,0.8283,1.0,0.7903,45320.0,24480.0,69800.0,s432,9,0.6612,1.0,0.5861,89440.0,24480.0,113920.0,44120.0,s221,urgent_first,5,0.5494,0.9562,0.4592,120210.0,13600.0,133810.0,s432,urgent_first,9.0,0.8283,1.0,0.7903,45320.0,24480.0,69800.0,s432,9,0.8283,1.0,0.7903,45320.0,24480.0,69800.0,44120.0,Cheapest: s432 + Urgent-First,"Best RL-3: s432 + rl3_dqn (+$44,120 vs cheapest)",Min urgent SLA≥95%: s221 + Urgent-First (5 workers),Min total SLA≥80%: s432 + Urgent-First (9 workers),Urgent-First is cost-optimal this month
3,March,16800,2075,14725,0.1235,s211,urgent_first,4,2,1,1,1.0,1.0,1.0,0.0,10880.0,10880.0,s211,4,1.0,1.0,1.0,0.0,10880.0,10880.0,0.0,s111,urgent_first,3,0.5929,1.0,0.5356,68390.0,8160.0,76550.0,s211,fifo,4.0,0.9461,0.5639,1.0,14480.0,10880.0,25360.0,s211,4,1.0,1.0,1.0,0.0,10880.0,10880.0,0.0,Cheapest: s211 + Urgent-First,Best RL-3: s211 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + Urgent-First (3 workers),Min total SLA≥80%: s211 + FIFO (4 workers),Urgent-First chosen; RL-3 within 2% — consider RL-3 for SLA
4,April,16800,2109,14691,0.1255,s211,urgent_first,4,2,1,1,1.0,1.0,1.0,0.0,10880.0,10880.0,s211,4,1.0,1.0,1.0,0.0,10880.0,10880.0,0.0,s111,urgent_first,3,0.5704,1.0,0.5087,72170.0,8160.0,80330.0,s211,fifo,4.0,0.9386,0.5107,1.0,16512.0,10880.0,27392.0,s211,4,1.0,1.0,1.0,0.0,10880.0,10880.0,0.0,Cheapest: s211 + Urgent-First,Best RL-3: s211 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + Urgent-First (3 workers),Min total SLA≥80%: s211 + FIFO (4 workers),Urgent-First chosen; RL-3 within 2% — consider RL-3 for SLA
5,May,10800,964,9836,0.0893,s111,urgent_first,3,1,1,1,1.0,1.0,1.0,0.0,8160.0,8160.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,s111,urgent_first,3,1.0,1.0,1.0,0.0,8160.0,8160.0,s111,fifo,3.0,0.9605,0.5571,1.0,6832.0,8160.0,14992.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,Cheapest: s111 + Urgent-First,Best RL-3: s111 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + Urgent-First (3 workers),Min total SLA≥80%: s111 + FIFO (3 workers),Urgent-First chosen; RL-3 within 2% — consider RL-3 for SLA
6,June,9600,869,8731,0.0905,s111,urgent_first,3,1,1,1,1.0,1.0,1.0,0.0,8160.0,8160.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,s111,urgent_first,3,1.0,1.0,1.0,0.0,8160.0,8160.0,s111,fifo,3.0,0.9801,0.7802,1.0,3056.0,8160.0,11216.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,Cheapest: s111 + Urgent-First,Best RL-3: s111 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + Urgent-First (3 workers),Min total SLA≥80%: s111 + FIFO (3 workers),Urgent-First chosen; RL-3 within 2% — consider RL-3 for SLA
7,July,8400,677,7723,0.0806,s111,urgent_first,3,1,1,1,1.0,1.0,1.0,0.0,8160.0,8160.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,s111,fifo,3,0.9998,0.997,1.0,32.0,8160.0,8192.0,s111,fifo,3.0,0.9998,0.997,1.0,32.0,8160.0,8192.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,Cheapest: s111 + Urgent-First,Best RL-3: s111 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + FIFO (3 workers),Min total SLA≥80%: s111 + FIFO (3 workers),Urgent-First chosen; RL-3 within 2% — consider RL-3 for SLA
8,August,8400,676,7724,0.0805,s111,urgent_first,3,1,1,1,1.0,1.0,1.0,0.0,8160.0,8160.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,s111,fifo,3,0.9996,0.9956,1.0,48.0,8160.0,8208.0,s111,fifo,3.0,0.9996,0.9956,1.0,48.0,8160.0,8208.0,s111,3,1.0,1.0,1.0,0.0,8160.0,8160.0,0.0,Cheapest: s111 + Urgent-First,Best RL-3: s111 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + FIFO (3 workers),Min total SLA≥80%: s111 + FIFO (3 workers),Urgent-First chosen; RL-3 within 2% — consider RL-3 for SLA
9,September,16800,2003,14797,0.1192,s211,rl3_dqn,4,2,1,1,1.0,1.0,1.0,0.0,10880.0,10880.0,s211,4,1.0,1.0,1.0,0.0,10880.0,10880.0,0.0,s111,urgent_first,3,0.5542,1.0,0.4938,74900.0,8160.0,83060.0,s211,fifo,4.0,0.936,0.4633,1.0,17200.0,10880.0,28080.0,s211,4,0.9994,1.0,0.9993,100.0,10880.0,10980.0,-100.0,Cheapest: s211 + RL-3 DQN,Best RL-3: s211 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + Urgent-First (3 workers),Min total SLA≥80%: s211 + FIFO (4 workers),RL-3 DQN minimises total cost this month
10,October,20400,3005,17395,0.1473,s221,rl3_dqn,5,2,2,1,1.0,1.0,1.0,0.0,13600.0,13600.0,s221,5,1.0,1.0,1.0,0.0,13600.0,13600.0,0.0,s111,urgent_first,3,0.4581,1.0,0.3645,110540.0,8160.0,118700.0,s211,urgent_first,4.0,0.8073,1.0,0.774,39320.0,10880.0,50200.0,s321,6,1.0,1.0,1.0,0.0,16320.0,16320.0,-2720.0,Cheapest: s221 + RL-3 DQN,Best RL-3: s221 + rl3_dqn (+$0 vs cheapest),Min urgent SLA≥95%: s111 + Urgent-First (3 workers),Min total SLA≥80%: s211 + Urgent-First (4 workers),RL-3 DQN minimises total cost this month
