month,month_name,total_orders,urgent_orders,urgent_share,best_total_regime,best_total_policy,best_total_strategy_label,best_total_workers,best_total_cost,best_total_sla,best_sla_regime,best_sla_policy,best_sla_value,best_sla_workers,min_workers_regime,min_workers_policy,min_workers_count,min_workers_sla,rl5_best_regime,rl5_best_workers,rl5_best_cost,rl5_best_total_sla,rl5_best_urgent_sla,rl5_best_normal_sla,uf_best_regime,uf_best_workers,uf_best_cost,uf_best_sla,rl5_vs_best_sla_diff,rl5_vs_best_cost_diff,managerial_interpretation_short,best_rl5_regime,best_rl5_workers,best_rl5_sla,best_rl5_urgent_sla,best_rl5_normal_sla,best_rl5_late_cost,best_rl5_labour_cost,best_rl5_total_cost,best_rl5_gap_vs_cheapest,balanced_regime,balanced_policy,balanced_workers,balanced_sla,balanced_urgent_sla,balanced_normal_sla,balanced_late_cost,balanced_labour_cost,balanced_total_cost,balanced_score,best_under_budget_regime,best_under_budget_policy,best_under_budget_workers,best_under_budget_sla,best_under_budget_urgent_sla,best_under_budget_normal_sla,best_under_budget_total_cost,cheapest_label,rl5_label,balanced_label,under_budget_label
1,January,16812,2040,0.1213,s32211,urgent_first,Urgent-First,9,21600.0,1.0,s32211,urgent_first,1.0,9,s11111,fifo,5,0.0166,s32212,10,26020.0,0.994,0.9505,1.0,s32211,9,21600.0,1.0,-0.006,4420.0,Urgent-First is cost-optimal; RL-5 is alternative if SLA is priority,s32212,10,0.994,0.9505,1.0,2020.0,24000.0,26020.0,4420.0,s32211,urgent_first,9,1.0,1.0,1.0,0.0,21600.0,21600.0,21600.0,s32211,urgent_first,9,1.0,1.0,1.0,21600.0,Cheapest: s32211 + Urgent-First,"Best RL-5: s32212 + rl5_dqn (+$4,420 vs cheapest)",Balanced service: s32211 + Urgent-First,Best service within +10% budget: s32211 + Urgent-First
2,February,15411,1882,0.1221,s32211,urgent_first,Urgent-First,9,21600.0,1.0,s32211,urgent_first,1.0,9,s11111,fifo,5,0.0185,s32211,9,21600.0,1.0,1.0,1.0,s32211,9,21600.0,1.0,0.0,0.0,Urgent-First chosen; RL-5 SLA within 0.5pp — consider RL-5 if cost tie,s32211,9,1.0,1.0,1.0,0.0,21600.0,21600.0,0.0,s32211,urgent_first,9,1.0,1.0,1.0,0.0,21600.0,21600.0,21600.0,s32211,urgent_first,9,1.0,1.0,1.0,21600.0,Cheapest: s32211 + Urgent-First,Best RL-5: s32211 + rl5_dqn (+$0 vs cheapest),Balanced service: s32211 + Urgent-First,Best service within +10% budget: s32211 + Urgent-First
3,March,19430,2300,0.1184,s32211,urgent_first,Urgent-First,9,22020.0,0.9957,s42211,urgent_first,1.0,10,s11111,fifo,5,0.0145,s42211,10,29780.0,0.9851,0.8743,1.0,s32211,9,22020.0,0.9957,-0.0106,7760.0,Urgent-First is cost-optimal; RL-5 is alternative if SLA is priority,s42211,10,0.9851,0.8743,1.0,5780.0,24000.0,29780.0,7760.0,s32211,urgent_first,9,0.9957,1.0,0.9951,420.0,21600.0,22020.0,22265.18,s42211,urgent_first,10,1.0,1.0,1.0,24000.0,Cheapest: s32211 + Urgent-First,"Best RL-5: s42211 + rl5_dqn (+$7,760 vs cheapest)",Balanced service: s32211 + Urgent-First,Best service within +10% budget: s42211 + Urgent-First
4,April,19272,2316,0.1202,s32211,urgent_first,Urgent-First,9,22765.0,0.9879,s42211,urgent_first,1.0,10,s11111,fifo,5,0.0148,s42211,10,28760.0,0.9877,0.8972,1.0,s32211,9,22765.0,0.9879,-0.0003,5995.0,Urgent-First chosen; RL-5 SLA within 0.5pp — consider RL-5 if cost tie,s42211,10,0.9877,0.8972,1.0,4760.0,24000.0,28760.0,5995.0,s32211,urgent_first,9,0.9879,1.0,0.9863,1165.0,21600.0,22765.0,23452.07,s42211,urgent_first,10,1.0,1.0,1.0,24000.0,Cheapest: s32211 + Urgent-First,"Best RL-5: s42211 + rl5_dqn (+$5,995 vs cheapest)",Balanced service: s32211 + Urgent-First,Best service within +10% budget: s42211 + Urgent-First
5,May,20700,2552,0.1233,s42211,urgent_first,Urgent-First,10,24000.0,1.0,s42211,urgent_first,1.0,10,s11111,fifo,5,0.0256,s42211,10,60300.0,0.9123,0.2888,1.0,s42211,10,24000.0,1.0,-0.0877,36300.0,Urgent-First chosen; RL-5 SLA significantly lower — review capacity,s42211,10,0.9123,0.2888,1.0,36300.0,24000.0,60300.0,36300.0,s42211,urgent_first,10,1.0,1.0,1.0,0.0,24000.0,24000.0,24000.0,s42211,urgent_first,10,1.0,1.0,1.0,24000.0,Cheapest: s42211 + Urgent-First,"Best RL-5: s42211 + rl5_dqn (+$36,300 vs cheapest)",Balanced service: s42211 + Urgent-First,Best service within +10% budget: s42211 + Urgent-First
6,June,19761,2419,0.1224,s42211,urgent_first,Urgent-First,10,24000.0,1.0,s42211,urgent_first,1.0,10,s11111,fifo,5,0.0141,s42211,10,28380.0,0.9889,0.9095,1.0,s42211,10,24000.0,1.0,-0.0111,4380.0,Urgent-First is cost-optimal; RL-5 is alternative if SLA is priority,s42211,10,0.9889,0.9095,1.0,4380.0,24000.0,28380.0,4380.0,s42211,urgent_first,10,1.0,1.0,1.0,0.0,24000.0,24000.0,24000.0,s42211,urgent_first,10,1.0,1.0,1.0,24000.0,Cheapest: s42211 + Urgent-First,"Best RL-5: s42211 + rl5_dqn (+$4,380 vs cheapest)",Balanced service: s42211 + Urgent-First,Best service within +10% budget: s42211 + Urgent-First
7,July,14944,1816,0.1215,s32211,urgent_first,Urgent-First,9,21600.0,1.0,s32211,urgent_first,1.0,9,s11111,fifo,5,0.0209,s32211,9,21600.0,1.0,1.0,1.0,s32211,9,21600.0,1.0,0.0,0.0,Urgent-First chosen; RL-5 SLA within 0.5pp — consider RL-5 if cost tie,s32211,9,1.0,1.0,1.0,0.0,21600.0,21600.0,0.0,s32211,urgent_first,9,1.0,1.0,1.0,0.0,21600.0,21600.0,21600.0,s32211,urgent_first,9,1.0,1.0,1.0,21600.0,Cheapest: s32211 + Urgent-First,Best RL-5: s32211 + rl5_dqn (+$0 vs cheapest),Balanced service: s32211 + Urgent-First,Best service within +10% budget: s32211 + Urgent-First
8,August,14038,1704,0.1214,s32211,urgent_first,Urgent-First,9,21600.0,1.0,s32211,urgent_first,1.0,9,s11111,fifo,5,0.0208,s32211,9,21600.0,1.0,1.0,1.0,s32211,9,21600.0,1.0,0.0,0.0,Urgent-First chosen; RL-5 SLA within 0.5pp — consider RL-5 if cost tie,s32211,9,1.0,1.0,1.0,0.0,21600.0,21600.0,0.0,s32211,urgent_first,9,1.0,1.0,1.0,0.0,21600.0,21600.0,21600.0,s32211,urgent_first,9,1.0,1.0,1.0,21600.0,Cheapest: s32211 + Urgent-First,Best RL-5: s32211 + rl5_dqn (+$0 vs cheapest),Balanced service: s32211 + Urgent-First,Best service within +10% budget: s32211 + Urgent-First
9,September,19195,2279,0.1187,s32211,urgent_first,Urgent-First,9,22065.0,0.9952,s42211,urgent_first,1.0,10,s11111,fifo,5,0.0145,s42211,10,30360.0,0.9834,0.8605,1.0,s32211,9,22065.0,0.9952,-0.0117,8295.0,Urgent-First is cost-optimal; RL-5 is alternative if SLA is priority,s42211,10,0.9834,0.8605,1.0,6360.0,24000.0,30360.0,8295.0,s32211,urgent_first,9,0.9952,1.0,0.9945,465.0,21600.0,22065.0,22339.89,s42211,urgent_first,10,1.0,1.0,1.0,24000.0,Cheapest: s32211 + Urgent-First,"Best RL-5: s42211 + rl5_dqn (+$8,295 vs cheapest)",Balanced service: s32211 + Urgent-First,Best service within +10% budget: s42211 + Urgent-First
10,October,21883,2704,0.1236,s42211,urgent_first,Urgent-First,10,24195.0,0.9982,s42211,urgent_first,0.9982,10,s11111,fifo,5,0.0127,s42211,10,62360.0,0.9124,0.2907,1.0,s42211,10,24195.0,0.9982,-0.0859,38165.0,Urgent-First chosen; RL-5 SLA significantly lower — review capacity,s42211,10,0.9124,0.2907,1.0,38360.0,24000.0,62360.0,38165.0,s42211,urgent_first,10,0.9982,1.0,0.998,195.0,24000.0,24195.0,24296.67,s42211,urgent_first,10,0.9982,1.0,0.998,24195.0,Cheapest: s42211 + Urgent-First,"Best RL-5: s42211 + rl5_dqn (+$38,165 vs cheapest)",Balanced service: s42211 + Urgent-First,Best service within +10% budget: s42211 + Urgent-First
