order_id,arrival_time,month,weekday,hour,order_type,sla_minutes,num_items,product_class,scenario
1,2026-01-01 08:00:23,1,thursday,8,normal,1440,7,B,base
2,2026-01-01 08:00:51,1,thursday,8,normal,1440,2,C,base
3,2026-01-01 08:02:02,1,thursday,8,normal,1440,4,C,base
4,2026-01-01 08:02:17,1,thursday,8,normal,1440,2,A,base
5,2026-01-01 08:02:20,1,thursday,8,normal,1440,2,A,base
6,2026-01-01 08:03:46,1,thursday,8,urgent,240,6,B,base
7,2026-01-01 08:04:31,1,thursday,8,normal,1440,3,C,base
8,2026-01-01 08:05:24,1,thursday,8,normal,1440,2,C,base
9,2026-01-01 08:06:35,1,thursday,8,normal,1440,4,A,base
10,2026-01-01 08:07:48,1,thursday,8,urgent,240,2,A,base
11,2026-01-01 08:13:41,1,thursday,8,normal,1440,4,B,base
12,2026-01-01 08:14:15,1,thursday,8,normal,1440,3,B,base
13,2026-01-01 08:14:31,1,thursday,8,normal,1440,3,A,base
14,2026-01-01 08:15:15,1,thursday,8,normal,1440,4,B,base
15,2026-01-01 08:17:22,1,thursday,8,urgent,240,3,B,base
16,2026-01-01 08:19:57,1,thursday,8,normal,1440,9,C,base
17,2026-01-01 08:20:44,1,thursday,8,normal,1440,5,A,base
18,2026-01-01 08:22:42,1,thursday,8,normal,1440,8,C,base
19,2026-01-01 08:22:51,1,thursday,8,normal,1440,4,A,base
20,2026-01-01 08:24:40,1,thursday,8,normal,1440,8,B,base
21,2026-01-01 08:26:24,1,thursday,8,normal,1440,4,A,base
22,2026-01-01 08:27:00,1,thursday,8,normal,1440,2,B,base
23,2026-01-01 08:29:37,1,thursday,8,urgent,240,2,B,base
24,2026-01-01 08:30:54,1,thursday,8,normal,1440,3,C,base
25,2026-01-01 08:32:36,1,thursday,8,normal,1440,4,B,base
26,2026-01-01 08:33:53,1,thursday,8,normal,1440,2,C,base
27,2026-01-01 08:38:44,1,thursday,8,normal,1440,5,A,base
28,2026-01-01 08:38:45,1,thursday,8,normal,1440,11,B,base
29,2026-01-01 08:39:32,1,thursday,8,normal,1440,7,B,base
30,2026-01-01 08:40:23,1,thursday,8,urgent,240,4,B,base
31,2026-01-01 08:42:16,1,thursday,8,urgent,240,1,B,base
32,2026-01-01 08:45:06,1,thursday,8,normal,1440,7,A,base
33,2026-01-01 08:46:14,1,thursday,8,normal,1440,3,A,base
34,2026-01-01 08:46:53,1,thursday,8,normal,1440,3,A,base
35,2026-01-01 08:47:01,1,thursday,8,normal,1440,6,A,base
36,2026-01-01 08:48:40,1,thursday,8,normal,1440,2,B,base
37,2026-01-01 08:49:51,1,thursday,8,normal,1440,2,B,base
38,2026-01-01 08:51:11,1,thursday,8,normal,1440,2,B,base
39,2026-01-01 08:51:26,1,thursday,8,normal,1440,9,A,base
40,2026-01-01 08:52:14,1,thursday,8,normal,1440,2,A,base
41,2026-01-01 08:55:14,1,thursday,8,urgent,240,5,A,base
42,2026-01-01 08:55:26,1,thursday,8,normal,1440,8,B,base
43,2026-01-01 08:57:06,1,thursday,8,normal,1440,3,A,base
44,2026-01-01 08:57:54,1,thursday,8,normal,1440,2,B,base
45,2026-01-01 08:58:30,1,thursday,8,urgent,240,3,C,base
46,2026-01-01 08:59:51,1,thursday,8,normal,1440,3,A,base
47,2026-01-01 09:01:19,1,thursday,9,normal,1440,3,B,base
48,2026-01-01 09:03:28,1,thursday,9,normal,1440,3,B,base
49,2026-01-01 09:04:28,1,thursday,9,normal,1440,5,B,base
50,2026-01-01 09:04:47,1,thursday,9,normal,1440,1,C,base
51,2026-01-01 09:05:37,1,thursday,9,urgent,240,7,B,base
52,2026-01-01 09:06:54,1,thursday,9,normal,1440,3,A,base
53,2026-01-01 09:07:33,1,thursday,9,normal,1440,5,A,base
54,2026-01-01 09:08:03,1,thursday,9,normal,1440,12,B,base
