time_min,pick_queue_urgent,pick_queue_normal,pack_queue_urgent,pack_queue_normal,dispatch_queue_urgent,dispatch_queue_normal,picking_busy,packing_busy,dispatch_busy,completed_total,completed_urgent,completed_normal,in_system_total,in_system_urgent,in_system_normal
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
2.0,0,3,0,0,0,0,2,0,0,0,0,0,5,0,5
3.0,0,3,0,0,0,0,2,0,0,0,0,0,5,0,5
4.0,1,3,0,0,0,0,2,0,0,0,0,0,6,1,5
5.0,1,3,0,0,0,0,2,1,0,0,0,0,7,1,6
6.0,1,4,0,1,0,0,1,1,0,0,0,0,8,1,7
7.0,1,4,0,1,0,0,2,1,0,0,0,0,9,1,8
8.0,2,4,0,0,0,0,2,1,1,0,0,0,10,2,8
9.0,2,4,0,0,0,0,2,1,1,0,0,0,10,2,8
10.0,2,3,0,1,0,0,2,1,0,1,0,1,9,2,7
11.0,2,3,0,1,0,0,2,1,0,1,0,1,9,2,7
12.0,1,3,0,1,0,0,2,1,1,1,0,1,9,2,7
13.0,1,2,0,2,0,0,2,1,1,1,0,1,9,2,7
14.0,1,4,0,1,0,0,2,1,1,2,0,2,10,2,8
15.0,1,6,0,1,0,0,2,1,0,3,0,3,11,2,9
16.0,1,6,0,1,0,0,2,1,0,3,0,3,11,2,9
17.0,2,5,0,2,0,0,2,1,0,3,0,3,12,3,9
18.0,2,5,0,1,0,0,2,1,1,3,0,3,12,3,9
19.0,2,4,1,1,0,0,2,1,0,4,0,4,11,3,8
20.0,2,5,1,0,0,0,2,1,1,4,0,4,12,3,9
21.0,2,6,1,0,0,0,2,1,0,5,0,5,12,3,9
22.0,2,6,1,0,0,0,2,1,0,5,0,5,12,3,9
23.0,1,7,0,2,0,0,2,1,1,5,0,5,14,3,11
24.0,1,7,0,2,0,0,2,1,1,5,0,5,14,3,11
25.0,1,7,1,2,0,0,2,1,0,6,0,6,14,3,11
26.0,1,7,1,2,0,0,2,1,0,6,0,6,14,3,11
27.0,1,9,1,2,0,0,2,1,0,6,0,6,16,3,13
28.0,1,9,1,1,0,0,2,1,1,6,0,6,16,3,13
29.0,1,9,1,1,0,0,2,1,1,6,0,6,16,3,13
30.0,2,7,1,3,0,0,2,1,0,7,1,6,16,3,13
31.0,2,8,1,2,0,0,2,1,1,7,1,6,17,3,14
32.0,2,8,1,2,0,0,2,1,1,7,1,6,17,3,14
33.0,2,9,1,2,0,0,2,1,0,8,1,7,17,3,14
34.0,1,10,0,3,0,0,2,1,1,8,1,7,18,3,15
35.0,1,10,0,3,0,0,2,1,0,9,1,8,17,3,14
36.0,1,9,0,3,0,0,2,1,1,9,1,8,17,3,14
37.0,1,8,1,3,0,0,2,1,0,10,2,8,16,2,14
38.0,1,8,1,3,0,0,2,1,0,10,2,8,16,2,14
39.0,1,10,1,2,0,0,2,1,1,10,2,8,18,2,16
40.0,1,11,1,2,0,0,2,1,1,10,2,8,19,2,17
41.0,2,11,1,2,0,0,2,1,0,11,2,9,19,3,16
42.0,3,11,1,1,0,0,2,1,1,11,2,9,20,4,16
43.0,3,11,1,0,0,0,2,1,1,12,2,10,19,4,15
44.0,3,11,1,0,0,0,2,1,1,12,2,10,19,4,15
45.0,3,11,1,1,0,0,2,1,0,13,2,11,19,4,15
46.0,3,12,0,1,0,0,2,1,1,13,2,11,20,4,16
47.0,3,13,0,2,0,0,2,1,0,14,2,12,21,4,17
48.0,3,13,0,1,0,0,2,1,1,14,2,12,21,4,17
49.0,3,14,0,1,0,0,2,1,1,14,2,12,22,4,18
50.0,3,15,0,1,0,0,2,1,0,15,3,12,22,3,19
51.0,3,15,0,1,0,0,2,1,1,15,3,12,23,3,20
52.0,3,17,0,1,0,0,2,1,1,15,3,12,25,3,22
53.0,3,17,0,1,0,0,2,1,0,16,3,13,24,3,21
54.0,3,16,0,2,0,0,2,1,0,16,3,13,24,3,21
55.0,4,16,0,2,0,0,2,1,0,16,3,13,25,4,21
56.0,4,17,0,2,0,0,2,1,0,16,3,13,26,4,22
57.0,4,18,0,1,0,0,2,1,1,16,3,13,27,4,23
