time_min,pick_queue_urgent,pick_queue_normal,pack_queue_urgent,pack_queue_normal,dispatch_queue_urgent,dispatch_queue_normal,picking_busy,packing_busy,dispatch_busy,completed_total,completed_urgent,completed_normal,in_system_total,in_system_urgent,in_system_normal
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
2.0,0,3,0,0,0,0,2,0,0,0,0,0,5,0,5
3.0,0,3,0,0,0,0,2,0,0,0,0,0,5,0,5
4.0,1,3,0,0,0,0,2,0,0,0,0,0,6,1,5
5.0,0,4,0,0,0,0,2,1,0,0,0,0,7,1,6
6.0,0,5,0,0,0,0,2,1,0,0,0,0,8,1,7
7.0,0,5,0,1,0,0,2,1,0,0,0,0,9,1,8
8.0,1,5,0,0,0,0,2,1,1,0,0,0,10,2,8
9.0,1,5,0,0,0,0,2,1,1,0,0,0,10,2,8
10.0,1,5,0,0,0,0,2,1,0,1,0,1,9,2,7
11.0,1,5,0,0,0,0,2,1,0,1,0,1,9,2,7
12.0,0,5,0,0,0,0,2,1,1,1,0,1,9,2,7
13.0,0,5,0,0,0,0,2,1,1,1,0,1,9,2,7
14.0,0,7,0,0,0,0,2,1,0,2,0,2,10,2,8
15.0,0,7,1,1,0,0,2,1,0,2,0,2,12,2,10
16.0,0,7,0,1,0,0,2,1,1,2,0,2,12,2,10
17.0,1,6,0,1,1,0,2,1,1,2,0,2,13,3,10
18.0,0,6,0,2,0,0,2,1,1,3,1,2,12,2,10
19.0,0,6,0,2,0,0,2,1,0,4,2,2,11,1,10
20.0,0,7,0,2,0,0,2,1,0,4,2,2,12,1,11
21.0,0,8,0,1,0,0,2,1,1,4,2,2,13,1,12
22.0,0,7,1,1,0,0,2,1,0,5,2,3,12,1,11
23.0,0,9,0,1,0,0,2,1,1,5,2,3,14,1,13
24.0,0,8,0,2,0,0,2,1,0,6,2,4,13,1,12
25.0,0,8,0,3,0,0,2,1,0,6,2,4,14,1,13
26.0,0,8,0,2,0,0,2,1,1,6,2,4,14,1,13
27.0,0,10,0,2,0,0,2,1,0,7,3,4,15,0,15
28.0,0,10,0,2,0,1,2,0,0,7,3,4,15,0,15
29.0,0,10,0,1,0,0,2,1,1,7,3,4,15,0,15
30.0,0,10,0,2,0,0,2,1,0,8,3,5,15,1,14
31.0,0,10,0,2,0,0,2,1,1,8,3,5,16,1,15
32.0,0,10,0,2,0,0,2,1,0,9,3,6,15,1,14
33.0,0,11,0,2,0,0,2,1,0,9,3,6,16,1,15
34.0,0,11,1,2,0,0,2,1,0,9,3,6,17,1,16
35.0,0,10,0,3,0,0,2,1,1,9,3,6,17,1,16
36.0,0,9,0,4,0,0,2,1,0,10,3,7,16,1,15
37.0,0,9,0,3,0,0,2,1,1,10,3,7,16,1,15
38.0,0,9,0,3,0,0,2,1,0,11,4,7,15,0,15
39.0,0,11,0,2,0,0,2,1,1,11,4,7,17,0,17
40.0,0,12,0,2,0,0,2,1,1,11,4,7,18,0,18
41.0,0,12,0,2,0,0,2,1,1,12,4,8,18,1,17
42.0,1,12,0,2,0,0,2,1,1,12,4,8,19,2,17
43.0,1,12,0,2,0,0,2,1,0,13,4,9,18,2,16
44.0,1,12,0,1,0,0,2,1,1,13,4,9,18,2,16
45.0,1,13,0,1,0,0,2,1,0,14,4,10,18,2,16
46.0,1,14,0,0,0,0,2,1,1,14,4,10,19,2,17
47.0,1,16,0,0,0,0,2,1,0,15,4,11,20,2,18
48.0,1,16,0,0,0,0,2,1,0,15,4,11,20,2,18
49.0,0,17,1,0,0,0,2,1,0,15,4,11,21,2,19
50.0,0,18,0,0,0,0,2,1,1,15,4,11,22,2,20
51.0,0,18,1,0,0,0,2,1,1,15,4,11,23,2,21
52.0,0,20,1,0,0,0,2,1,0,16,4,12,24,2,22
53.0,0,20,0,0,0,0,2,1,1,16,4,12,24,2,22
54.0,0,20,0,0,1,0,2,0,1,16,4,12,24,2,22
55.0,1,19,0,0,0,0,2,1,0,18,6,12,23,1,22
56.0,0,20,0,1,0,0,2,1,0,18,6,12,24,1,23
57.0,0,21,0,1,0,0,2,1,0,18,6,12,25,1,24
