regime,policy,total_sla,urgent_sla,normal_sla,urgent_late_orders,normal_late_orders,estimated_late_cost,savings_vs_fifo,savings_vs_urgent_first,cost_late_urgent,cost_late_normal,urgent_orders_assumed,normal_orders_assumed
s11111,fifo,0.044,0.00848638850566424,0.04893441550697728,1189.816333793203,8369.3771435386,65643.21239355707,0.0,-22346.745697227314,20.0,5.0,1200.0,8800.0
s11111,rl5_dqn,0.11235999999999999,0.6946755025252094,0.03177724030488808,366.38939696974876,8520.360285316985,49929.589365979904,15713.623027577167,-6633.122669650147,20.0,5.0,1200.0,8800.0
s11111,urgent_first,0.14745999999999998,0.9699288306922625,0.03239184925127138,36.085403169284945,8514.951726588812,43296.46669632976,22346.745697227314,0.0,20.0,5.0,1200.0,8800.0
s21111,fifo,0.18806,0.02925523578640894,0.2100461396762232,1164.8937170563092,6951.593970849236,58055.84419537237,0.0,-21343.274385769037,20.0,5.0,1200.0,8800.0
s21111,rl5_dqn,0.26914,1.0,0.1666251620245578,0.0,7333.698574183892,36668.49287091946,21387.35132445291,44.07693868387287,20.0,5.0,1200.0,8800.0
s21111,urgent_first,0.26826,1.0,0.16562341341810605,0.0,7342.513961920667,36712.56980960333,21343.274385769037,0.0,20.0,5.0,1200.0,8800.0
s31111,fifo,0.18788,0.029248108080536482,0.20984284985535084,1164.9022703033563,6953.382921272912,58064.960012431686,0.0,-21366.454091448963,20.0,5.0,1200.0,8800.0
s31111,rl5_dqn,0.2694,1.0,0.16692243823864347,0.0,7331.082543499937,36655.41271749968,21409.547294932003,43.09320348304027,20.0,5.0,1200.0,8800.0
s31111,urgent_first,0.26854,1.0,0.1659430472503927,0.0,7339.701184196545,36698.50592098272,21366.454091448963,0.0,20.0,5.0,1200.0,8800.0
s32111,fifo,0.19063999999999998,0.029748399027916577,0.21291406239526997,1164.3019211665,6926.356250921624,57917.819677938125,0.0,-21235.335270962772,20.0,5.0,1200.0,8800.0
s32111,rl5_dqn,0.27128,1.0,0.16906102049728008,0.0,7312.263019623935,36561.315098119674,21356.50457981845,121.16930885567854,20.0,5.0,1200.0,8800.0
s32111,urgent_first,0.26886,1.0,0.16630717256874208,0.0,7336.49688139507,36682.48440697535,21235.335270962772,0.0,20.0,5.0,1200.0,8800.0
s32211,fifo,0.73952,0.18761215216291932,0.8165512313252081,974.8654174044968,1614.3491643381685,27569.05416978078,0.0,-17494.111329461542,20.0,5.0,1200.0,8800.0
s32211,rl5_dqn,0.82896,0.7377688234281985,0.8416629769281638,314.6774118861618,1393.3658030321583,13260.377252884027,14308.676916896751,-3185.4344125647913,20.0,5.0,1200.0,8800.0
s32211,urgent_first,0.7996399999999999,1.0,0.771024026356381,0.0,2014.9885680638472,10074.942840319236,17494.111329461542,0.0,20.0,5.0,1200.0,8800.0
s32221,fifo,0.73928,0.18908912776373682,0.8160676408640336,973.0930466835159,1618.6047603965042,27554.884735652842,0.0,-17391.96037993038,20.0,5.0,1200.0,8800.0
s32221,rl5_dqn,0.83798,0.7682383407752214,0.8478315967921299,278.11399106973437,1339.0819482292566,12257.68956254097,15297.195173111872,-2094.765206818507,20.0,5.0,1200.0,8800.0
s32221,urgent_first,0.7978799999999999,1.0,0.7690244464608531,0.0,2032.5848711444926,10162.924355722464,17391.96037993038,0.0,20.0,5.0,1200.0,8800.0
s33322,fifo,0.74024,0.18926138979267687,0.8171418528748884,972.8863322487877,1609.1516947009823,27503.48511848066,0.0,-17469.83291676715,20.0,5.0,1200.0,8800.0
s33322,rl5_dqn,0.7985599999999999,0.8703867959712106,0.7878276581001546,155.53584483454728,1867.116608718639,12446.299940284141,15057.18517819652,-2412.647738570631,20.0,5.0,1200.0,8800.0
s33322,urgent_first,0.80044,1.0,0.7719624499610566,0.0,2006.7304403427022,10033.65220171351,17469.83291676715,0.0,20.0,5.0,1200.0,8800.0
