episode,scenario,workers,start_idx,sla_rate,sla_urgent,sla_normal,ma5_sla,epsilon,loss_mean,buffer_size,updates_done,grad_step_total,total_decisions,p_urgent_overall,pick_dec_pts,pick_pct_urgent,qc_dec_pts,qc_pct_urgent,pack_dec_pts,pack_pct_urgent,lab_dec_pts,lab_pct_urgent,disp_dec_pts,disp_pct_urgent,runtime_s
1,s21111,2-1-1-1-1,156940,0.1654,0.9179916317991632,0.063259511641113,0.1654,0.9729022,1.0267082251310349,7131,125,500,7131,0.49642406394615063,2410,0.495850622406639,2286,0.5083114610673666,2419,0.4853245142620918,0,0.0,16,0.5625,5.58
2,s31111,3-1-1-1-1,12378,0.2121,1.0,0.09820304452329175,0.18875,0.9447252,0.15853792330622674,14546,125,1000,7415,0.5060013486176669,2405,0.5193347193347193,2543,0.49665749115218244,2454,0.5028524857375714,0,0.0,13,0.46153846153846156,8.9
3,s31111,3-1-1-1-1,50682,0.1654,1.0,0.04856361149110807,0.18096666666666664,0.9183798,0.0874538558125496,21479,125,1500,6933,0.5318044136737343,2356,0.5199490662139219,2227,0.5514144589133363,2329,0.5246887075998282,0,0.0,21,0.5714285714285714,7.96
4,s32111,3-2-1-1-1,42405,0.2422,1.0,0.14140040788579197,0.196275,0.900706,0.07752835661172867,26130,125,2000,4651,0.536658783057407,2208,0.5289855072463768,279,0.5483870967741935,2153,0.5452856479331166,0,0.0,11,0.09090909090909091,19.81
5,s21111,2-1-1-1-1,40458,0.1986,1.0,0.09517895449926611,0.19674,0.8777882,0.45644850671291354,32161,125,2500,6031,0.5629248880782624,2048,0.5576171875,1956,0.570040899795501,2020,0.560891089108911,0,0.0,7,0.7142857142857143,15.42
6,s21111,2-1-1-1-1,186781,0.2045,0.8086522462562395,0.1219595362582405,0.20456,0.8556076,0.187876174390316,37998,125,3000,5837,0.5737536405687853,2080,0.5764423076923076,1767,0.576117713638936,1976,0.5688259109311741,0,0.0,14,0.5714285714285714,14.19
7,s32111,3-2-1-1-1,212369,0.1664,0.8146687697160884,0.0722629409070087,0.19541999999999998,0.8378578,0.21428699576854707,42669,125,3500,4671,0.5731106829372725,2264,0.5596289752650176,215,0.6232558139534884,2178,0.5821854912764004,0,0.0,14,0.5714285714285714,20.99
8,s31111,3-1-1-1-1,63612,0.1818,1.0,0.07391058290888512,0.1987,0.8151794,0.1810492073893547,48637,125,4000,5968,0.5844504021447721,1983,0.5874936964195663,1988,0.5850100603621731,1976,0.5794534412955465,0,0.0,21,0.7142857142857143,19.97
9,s32111,3-2-1-1-1,188543,0.1368,0.8475,0.039886363636363636,0.17762,0.7991661999999999,0.6900513808727264,52851,125,4500,4214,0.5980066445182725,2015,0.5955334987593052,194,0.5721649484536082,1989,0.6033182503770739,0,0.0,16,0.5625,21.17
10,s31111,3-1-1-1-1,204675,0.1592,0.9479583666933546,0.046623243057936234,0.16974,0.7756062,0.38003951907157896,59051,125,5000,6200,0.605,2054,0.6075949367088608,2071,0.6030902945436987,2056,0.605544747081712,0,0.0,19,0.47368421052631576,18.99
11,s32111,3-2-1-1-1,117983,0.4894,1.0,0.42016806722689076,0.22671999999999998,0.7596044,0.37147583985328675,63262,125,5500,4211,0.6074566611256234,1926,0.6048805815160956,321,0.6105919003115264,1947,0.6111967128916281,0,0.0,17,0.4117647058823529,27.17
12,s32111,3-2-1-1-1,56341,0.2449,1.0,0.1424190800681431,0.24242,0.7444500000000001,0.36429200315475463,67250,125,6000,3988,0.6361584754262788,1864,0.6389484978540773,240,0.5916666666666667,1870,0.6379679144385026,0,0.0,14,0.7857142857142857,20.6
13,s32111,3-2-1-1-1,189575,0.1525,0.9130074565037283,0.048106448311156604,0.23656000000000002,0.7286914,1.0273190975189208,71397,125,6500,4147,0.6247890040993489,1876,0.6433901918976546,268,0.6119402985074627,1977,0.6095093576125442,1,1.0,25,0.56,10.17
14,s31111,3-1-1-1-1,49165,0.209,1.0,0.09795871821188278,0.251,0.7068338000000001,0.778566924571991,77149,125,7000,5752,0.6399513212795549,1925,0.6358441558441559,1911,0.6436420722135008,1906,0.6395592864637986,0,0.0,10,0.8,8.73
15,s21111,2-1-1-1-1,170537,0.2279,1.0,0.11638818951705196,0.26474000000000003,0.6852308,0.7648650784492492,82834,125,7500,5685,0.6592788038698328,1898,0.6638566912539515,1875,0.6554666666666666,1892,0.6580338266384778,0,0.0,20,0.7,6.74
16,s32111,3-2-1-1-1,144886,0.2081,1.0,0.10256119673617407,0.20848,0.670464,0.7599175271987915,86720,125,8000,3886,0.6474523932063819,1802,0.6498335183129855,254,0.6377952755905512,1820,0.6461538461538462,0,0.0,10,0.7,9.81
17,s21111,2-1-1-1-1,213303,0.1921,0.8874700718276137,0.09248885332113868,0.19792,0.6491498,1.3101718292236328,92329,125,8500,5609,0.6637546799786058,1875,0.6677333333333333,1888,0.6546610169491526,1837,0.6690255851932498,0,0.0,9,0.6666666666666666,6.48
18,s32111,3-2-1-1-1,53338,0.2258,1.0,0.11982719417917236,0.21258,0.6349188,1.088588749885559,96074,125,9000,3745,0.6881174899866489,1749,0.6826758147512865,244,0.7172131147540983,1743,0.6890418818129661,0,0.0,9,0.7777777777777778,10.86
19,s31111,3-1-1-1-1,183798,0.1683,0.974485596707819,0.05680136596471258,0.20444,0.614642,1.0783877415657044,101410,125,9500,5336,0.6825337331334332,1734,0.6978085351787774,1791,0.6772752652149637,1793,0.6737311767986615,0,0.0,18,0.6111111111111112,8.02
20,s32111,3-2-1-1-1,119177,0.4254,1.0,0.3475644373793573,0.24394,0.6007834000000001,1.0873306794166564,105057,125,10000,3647,0.6953660542911982,1642,0.705237515225335,264,0.678030303030303,1726,0.6900347624565469,0,0.0,15,0.5333333333333333,12.46
21,s32111,3-2-1-1-1,53257,0.2345,1.0,0.13021247585501647,0.24922,0.587016,1.657093469619751,108680,125,10500,3623,0.7129450731438035,1689,0.7063351095322676,252,0.7380952380952381,1669,0.7165967645296585,0,0.0,13,0.6153846153846154,23.98
22,s32111,3-2-1-1-1,38157,0.2468,1.0,0.15055824968986128,0.26016,0.5737084,1.4885495252609253,112182,125,11000,3502,0.700456881781839,1651,0.6838279830405815,251,0.7330677290836654,1589,0.7123977344241661,0,0.0,11,0.7272727272727273,23.7
23,s21111,2-1-1-1-1,114491,0.4581,1.0,0.38434446716655307,0.30662,0.5552594,1.4819866905212402,117037,125,11500,4855,0.7250257466529351,1666,0.7172869147659063,1571,0.728835136855506,1605,0.7314641744548287,0,0.0,13,0.46153846153846156,20.69
24,s21111,2-1-1-1-1,134026,0.4036,1.0,0.32134729176149296,0.35368,0.5365748,1.5137512903213501,121954,125,12000,4917,0.7240187105958918,1669,0.7237866986219293,1576,0.7296954314720813,1663,0.7185808779314492,0,0.0,9,0.7777777777777778,19.29
25,s32211,3-2-2-1-1,42397,0.976,1.0,0.9728014505893019,0.4638,0.5232178000000001,2.0024281940460207,125469,125,12500,3515,0.6654338549075391,1886,0.6208907741251326,290,0.6827586206896552,559,0.7334525939177102,38,0.868421052631579,742,0.7102425876010782,21.92
26,s32211,3-2-2-1-1,3425,1.0,1.0,1.0,0.6169,0.5086448,1.7879221925735473,129304,125,13000,3835,0.6305084745762712,2173,0.5444086516336861,290,0.7,565,0.7699115044247787,40,0.625,767,0.7457627118644068,27.0
27,s32111,3-2-1-1-1,108360,0.283,1.0,0.1826265389876881,0.6241399999999999,0.4908570000000001,1.7825875186920166,133985,125,13500,4681,0.5513779107028413,2764,0.4366859623733719,298,0.46308724832214765,1608,0.7630597014925373,0,0.0,11,0.8181818181818182,26.09
28,s32211,3-2-2-1-1,167495,0.6528,1.0,0.6045107643239549,0.66308,0.47485900000000003,1.819715576171875,138195,125,14000,4210,0.5522565320665083,2262,0.537577365163572,325,0.5538461538461539,686,0.5787172011661808,43,0.6046511627906976,894,0.5659955257270693,19.49
29,s31111,3-1-1-1-1,211278,0.1651,0.9984472049689441,0.04189623507805326,0.61538,0.455688,2.0213726863861083,143240,125,14500,5045,0.7649157581764123,1661,0.7748344370860927,1712,0.7523364485981309,1669,0.7675254643499101,0,0.0,3,1.0,18.68
30,s21111,2-1-1-1-1,118528,0.4833,1.0,0.41350737797956866,0.51684,0.4361066,1.8808813495635985,148393,125,15000,5153,0.6675722879875801,1610,0.737888198757764,2015,0.5369727047146402,1520,0.7657894736842106,0,0.0,8,0.75,22.91
