worker_cost_per_hour,month,month_name,best_regime,best_policy,total_workers,total_sla,urgent_sla,normal_sla,estimated_late_cost,estimated_worker_cost,estimated_total_cost
8,1,January,s32211,urgent_first,9,1.0,1.0,1.0,0.0,11520.0,11520.0
8,2,February,s32211,urgent_first,9,1.0,1.0,1.0,0.0,11520.0,11520.0
8,3,March,s32211,urgent_first,9,0.9957,1.0,0.9951,420.0,11520.0,11940.0
8,4,April,s32211,urgent_first,9,0.9879,1.0,0.9863,1165.0,11520.0,12685.0
8,5,May,s42211,urgent_first,10,1.0,1.0,1.0,0.0,12800.0,12800.0
8,6,June,s42211,urgent_first,10,1.0,1.0,1.0,0.0,12800.0,12800.0
8,7,July,s32211,urgent_first,9,1.0,1.0,1.0,0.0,11520.0,11520.0
8,8,August,s32211,urgent_first,9,1.0,1.0,1.0,0.0,11520.0,11520.0
8,9,September,s32211,urgent_first,9,0.9952,1.0,0.9945,465.0,11520.0,11985.0
8,10,October,s42211,urgent_first,10,0.9982,1.0,0.998,195.0,12800.0,12995.0
8,11,November,s42211,urgent_first,10,0.3521,1.0,0.2636,90290.0,12800.0,103090.0
8,12,December,s42211,urgent_first,10,0.3407,1.0,0.2462,101145.0,12800.0,113945.0
10,1,January,s32211,urgent_first,9,1.0,1.0,1.0,0.0,14400.0,14400.0
10,2,February,s32211,urgent_first,9,1.0,1.0,1.0,0.0,14400.0,14400.0
10,3,March,s32211,urgent_first,9,0.9957,1.0,0.9951,420.0,14400.0,14820.0
10,4,April,s32211,urgent_first,9,0.9879,1.0,0.9863,1165.0,14400.0,15565.0
10,5,May,s42211,urgent_first,10,1.0,1.0,1.0,0.0,16000.0,16000.0
10,6,June,s42211,urgent_first,10,1.0,1.0,1.0,0.0,16000.0,16000.0
10,7,July,s32211,urgent_first,9,1.0,1.0,1.0,0.0,14400.0,14400.0
10,8,August,s32211,urgent_first,9,1.0,1.0,1.0,0.0,14400.0,14400.0
10,9,September,s32211,urgent_first,9,0.9952,1.0,0.9945,465.0,14400.0,14865.0
10,10,October,s42211,urgent_first,10,0.9982,1.0,0.998,195.0,16000.0,16195.0
10,11,November,s42211,urgent_first,10,0.3521,1.0,0.2636,90290.0,16000.0,106290.0
10,12,December,s42211,urgent_first,10,0.3407,1.0,0.2462,101145.0,16000.0,117145.0
12,1,January,s32211,urgent_first,9,1.0,1.0,1.0,0.0,17280.0,17280.0
12,2,February,s32211,urgent_first,9,1.0,1.0,1.0,0.0,17280.0,17280.0
12,3,March,s32211,urgent_first,9,0.9957,1.0,0.9951,420.0,17280.0,17700.0
12,4,April,s32211,urgent_first,9,0.9879,1.0,0.9863,1165.0,17280.0,18445.0
