month,orders,analytical_fte,regime,policy,fte,urgent_sla,normal_sla,total_cost
Jan,31200,31,s13_8_4,RL-3 DQN,25,99.9,88.8,74085
Feb,26400,27,s13_8_4,RL-3 DQN,25,99.9,93.6,67065
Mar,16800,15,s643,Urgent-First,13,100.0,99.0,31955
Apr,16800,15,s643,Urgent-First,13,100.0,98.3,32440
May,10800,9,s332,RL-3 DQN,8,99.7,97.1,20695
Jun,9600,9,s322,RL-3 DQN,7,99.9,98.5,17475
Jul,8400,8,s322,RL-3 DQN,7,100.0,99.6,16955
Aug,8400,8,s322,Urgent-First,7,100.0,99.6,16965
Sep,16800,16,s743,Urgent-First,14,100.0,98.9,34390
Oct,20400,19,s863,Urgent-First,17,100.0,99.0,41655
Nov,33600,36,s16_9_5,RL-3 DQN,30,99.9,95.6,77905
Dec,40800,47,s22_11_5,RL-3 DQN,38,99.2,85.4,115040
